TAG,Voornaam,Achternaam,E-mail adres,Saldo
abc,Jan,Best,j.best@tref.nl,10.5
def,Jane,Doe,jane.doe@outlook.com,3.0
ghi,Arie,Bakker,abakker@planet.nl,24.5
jkl,Janet,Jansen,jj@kpn.nl,15.0
mno,Pieter,Stolk,pstolk@upc.com,8.5
pqr,Monique,Smit,m.smit@volendam.nl,10.0
stu,Kees,Tol,ktol@volendam.nl,12.5
vwx,Victor,Brand,v.brand@televisie.nl,7.5
yza,Chantal,Janzen,cjanzen@televisie.nl,9.0
bcd,Kip,Poot,kippie@slager.nl,-2.5
efg,Debbie,Dallas,d.dallas@yahoo.com,8.5
hij,Peter,De Wit,p.dewit@gmail.com,20.0
klm,Klaas,Vaak,kvaak@chello.nl,10.0
nop,Wendy,Van Dijk,w.van.dijk@televisie.nl,18.5
qrs,Sjaak,Thaak,s.thaak@tref.nl,-1.0
